date,income,unemployment,tenYearTreasury,CPI,inflation,vehicleSales,houseSales
1992-01-01,5264.2,6.6,7.03,138.1,2.60%,12.591,676
1992-02-01,5303.8,6.7,7.34,138.6,2.82%,12.927,639
1992-03-01,5325.5,6.7,7.54,139.3,3.19%,12.824,553
1992-04-01,5359.8,6.7,7.48,139.5,3.18%,12.55,546
1992-05-01,5395.6,6.9,7.39,139.7,3.02%,13.098,554
1992-06-01,5427.8,6.9,7.26,140.2,3.09%,13.543,596
1992-07-01,5441.3,6.9,6.84,140.5,3.16%,12.853,627
1992-08-01,5469.7,6.9,6.59,140.9,3.15%,12.873,636
1992-09-01,5457.7,6.8,6.42,141.3,2.99%,13.378,650
1992-10-01,5450.1,6.7,6.59,141.8,3.20%,13.655,621
1992-11-01,5472.7,6.7,6.87,142,3.05%,13.218,614
1992-12-01,5682.1,6.7,6.77,141.9,2.90%,13.784,650
1993-01-01,5539.2,6.5,6.6,142.6,3.26%,13.457,596
1993-02-01,5573,6.4,6.26,143.1,3.25%,12.969,604
1993-03-01,5569.9,6.3,5.98,143.6,3.09%,13.326,602
1993-04-01,5626.7,6.4,5.97,144,3.23%,14.527,701
1993-05-01,5642.8,6.3,6.04,144.2,3.22%,14.519,626
1993-06-01,5637.9,6.3,5.96,144.4,3.00%,14.49,653
1993-07-01,5665.2,6.2,5.81,144.4,2.78%,14.451,655
1993-08-01,5687.2,6.1,5.68,144.8,2.77%,13.584,645
1993-09-01,5680.3,6.1,5.36,145.1,2.69%,13.99,726
1993-10-01,5674.3,6.1,5.33,145.7,2.75%,14.911,704
1993-11-01,5699.6,5.9,5.72,145.8,2.68%,14.882,769
1993-12-01,5899.1,5.9,5.77,145.8,2.75%,15.004,812
1994-01-01,5784.5,5.9,5.75,146.2,2.52%,15.379,619
1994-02-01,5803.8,5.9,5.97,146.7,2.52%,15.52,686
1994-03-01,5835.5,5.8,6.48,147.2,2.51%,15.301,747
1994-04-01,5896.8,5.6,6.97,147.4,2.36%,16.013,692
1994-05-01,5917.5,5.3,7.18,147.5,2.29%,14.577,691
1994-06-01,5923.9,5.4,7.1,148,2.49%,15.109,621
1994-07-01,5952.6,5.4,7.3,148.4,2.77%,14.875,628
1994-08-01,5974.8,5.4,7.24,149,2.90%,15.359,656
1994-09-01,6007.6,5.2,7.46,149.4,2.96%,15.274,677
1994-10-01,6071.6,5.1,7.74,149.5,2.61%,15.894,715
1994-11-01,6081.8,5,7.96,149.7,2.67%,15.89,646
1994-12-01,6114.7,4.8,7.81,149.7,2.67%,15.584,629
1995-01-01,6155.5,4.9,7.78,150.3,2.80%,14.801,626
1995-02-01,6180.4,4.7,7.47,150.9,2.86%,14.861,559
1995-03-01,6207.6,4.7,7.2,151.4,2.85%,15.256,616
1995-04-01,6231.3,5,7.06,151.9,3.05%,14.378,621
1995-05-01,6245.8,4.9,6.63,152.2,3.19%,14.806,674
1995-06-01,6275.1,4.9,6.17,152.5,3.04%,15.407,725
1995-07-01,6304.3,4.9,6.28,152.5,2.76%,14.7,765
1995-08-01,6327.2,4.9,6.49,152.9,2.62%,15.368,701
1995-09-01,6356.2,4.9,6.2,153.2,2.54%,15.338,678
1995-10-01,6382.3,4.8,6.04,153.7,2.81%,14.861,696
1995-11-01,6403.1,4.9,5.93,153.6,2.61%,15.38,664
1995-12-01,6427.4,4.8,5.71,153.5,2.54%,16.262,709
1996-01-01,6463.8,4.9,5.65,154.4,2.73%,14.812,714
1996-02-01,6528.1,4.8,5.81,154.9,2.65%,15.587,769
1996-03-01,6570.9,4.8,6.27,155.7,2.84%,16.044,721
1996-04-01,6608.1,4.8,6.51,156.3,2.90%,15.466,736
1996-05-01,6648.4,4.9,6.74,156.6,2.89%,15.993,746
1996-06-01,6693,4.6,6.91,156.7,2.75%,15.256,721
1996-07-01,6694,4.7,6.87,157,2.95%,15.074,770
1996-08-01,6722.5,4.4,6.64,157.3,2.88%,15.486,826
1996-09-01,6761.1,4.5,6.83,157.8,3.00%,15.534,770
1996-10-01,6783,4.5,6.53,158.3,2.99%,15.308,720
1996-11-01,6817.2,4.7,6.2,158.6,3.26%,15.712,771
1996-12-01,6852.1,4.7,6.3,158.6,3.32%,15.183,805
1997-01-01,6901.2,4.6,6.58,159.1,3.04%,15.682,830
1997-02-01,6938.1,4.5,6.42,159.6,3.03%,15.271,801
1997-03-01,6978.7,4.5,6.69,160,2.76%,15.816,831
1997-04-01,6991.4,4.4,6.89,160.2,2.50%,15.058,744
1997-05-01,7020.4,4.2,6.71,160.1,2.23%,15.088,760
1997-06-01,7054.9,4.3,6.49,160.3,2.30%,14.524,793
1997-07-01,7090.6,4.1,6.22,160.5,2.23%,15.568,805
1997-08-01,7138.2,4.1,6.3,160.8,2.23%,16.148,815
1997-09-01,7177.1,4.2,6.21,161.2,2.15%,15.096,840
1997-10-01,7224.3,4.1,6.03,161.6,2.08%,15.431,800
1997-11-01,7276.1,4,5.88,161.5,1.83%,15.825,864
1997-12-01,7318.6,4.2,5.81,161.3,1.70%,16.474,793
1998-01-01,7387.7,4.1,5.54,161.6,1.57%,14.789,872
1998-02-01,7434.5,4,5.57,161.9,1.44%,15.232,866
1998-03-01,7481.4,4,5.65,162.2,1.37%,15.405,836
1998-04-01,7518.6,3.8,5.64,162.5,1.44%,15.923,866
1998-05-01,7563.6,3.7,5.65,162.8,1.69%,17.057,887
1998-06-01,7601,3.9,5.5,163,1.68%,16.771,923
1998-07-01,7633.9,3.9,5.46,163.2,1.68%,14.668,876
1998-08-01,7673.9,3.8,5.34,163.4,1.62%,14.796,846
1998-09-01,7696.6,3.9,4.81,163.6,1.49%,16.313,864
1998-10-01,7728.5,3.8,4.53,164,1.49%,17.131,893
1998-11-01,7766.6,3.8,4.83,164,1.55%,16.118,995
1998-12-01,7793.5,3.8,4.65,163.9,1.61%,17.409,949
1999-01-01,7825.6,3.6,4.72,164.3,1.67%,16.593,875
1999-02-01,7855.3,3.8,5,164.5,1.61%,17.097,848
1999-03-01,7871.7,3.5,5.23,165,1.73%,16.832,863
1999-04-01,7894.6,3.7,5.18,166.2,2.28%,16.929,918
1999-05-01,7918,3.6,5.54,166.2,2.09%,17.564,888
1999-06-01,7948.6,3.7,5.9,166.2,1.96%,17.346,923
1999-07-01,7984.2,3.7,5.79,166.7,2.14%,17.688,900
1999-08-01,8036.9,3.6,5.94,167.1,2.26%,17.641,893
1999-09-01,8065.3,3.6,5.92,167.9,2.63%,17.662,826
1999-10-01,8132.2,3.5,6.11,168.2,2.56%,17.684,872
1999-11-01,8200.2,3.5,6.03,168.3,2.62%,17.62,863
1999-12-01,8289.7,3.4,6.28,168.3,2.68%,18.322,873
2000-01-01,8396.8,3.5,6.66,168.8,2.74%,18.635,873
2000-02-01,8458,3.5,6.52,169.8,3.22%,19.401,856
2000-03-01,8516.9,3.4,6.26,171.2,3.76%,18.343,900
2000-04-01,8551.4,3.3,5.99,171.3,3.07%,17.939,841
2000-05-01,8586.8,3.5,6.44,171.5,3.19%,17.943,857
2000-06-01,8637,3.4,6.1,172.4,3.73%,17.596,793
2000-07-01,8701.1,3.5,6.05,172.8,3.66%,17.316,887
